org_code,metric,model,origin_month_key,horizon,target_month_key,point,point_raw,lo80,hi80,is_validated_horizon,cluster_id
R0A,breach_rate,cluster_pooled,202606,1,202607,0.4170164542353017,0.4079529263643019,0.3764274219242508,0.4728398370392675,true,0
R0A,breach_rate,cluster_pooled,202606,2,202608,0.4280086911068375,0.4110093095308889,0.37581529015876575,0.4800503642771634,true,0
R0A,breach_rate,cluster_pooled,202606,3,202609,0.4393774955312631,0.4223781139553145,0.37927441922565047,0.5069357916712802,false,0
R0A,breach_rate,cluster_pooled,202606,4,202610,0.4540748759229379,0.4370754943469893,0.3873036348365113,0.5347142903297141,false,0
R0A,breach_rate,cluster_pooled,202606,5,202611,0.45721088395283677,0.44021150237688816,0.38456487176088905,0.5493749949061912,false,0
R0A,breach_rate,cluster_pooled,202606,6,202612,0.4685822171067,0.4515828355307514,0.39062500585567084,0.5711654501594433,false,0
R0A,breach_rate,cluster_pooled,202606,7,202701,0.4519797903746292,0.4349804087986806,0.36913842752169573,0.5641443950397118,false,0
R0A,breach_rate,cluster_pooled,202606,8,202702,0.4484901897577212,0.4314908081817726,0.36110276943752634,0.5695729176743217,false,0
R0B,breach_rate,cluster_pooled,202606,1,202607,0.374044266924775,0.37785220407347214,0.3386818702120747,0.42651599177654564,true,2
R0B,breach_rate,cluster_pooled,202606,2,202608,0.39808011344627026,0.38332580102975533,0.3318923421029019,0.44607616621752855,true,2
R0B,breach_rate,cluster_pooled,202606,3,202609,0.4137715757523757,0.3990172633358608,0.33602439829726716,0.47587045127753536,false,2
R0B,breach_rate,cluster_pooled,202606,4,202610,0.4469075657078255,0.4321532532913106,0.359415358117195,0.520895670783724,false,2
R0B,breach_rate,cluster_pooled,202606,5,202611,0.4733705692372131,0.4586162568206982,0.37729281774590995,0.5578332958210496,false,2
R0B,breach_rate,cluster_pooled,202606,6,202612,0.4823387518940259,0.467584439477511,0.37849907540719385,0.5762712601762355,false,2
R0B,breach_rate,cluster_pooled,202606,7,202701,0.44798379091820917,0.43322947850169424,0.3370062877411967,0.5506246622154912,false,2
R0B,breach_rate,cluster_pooled,202606,8,202702,0.4415174891853436,0.4267631767688287,0.32389625891512186,0.5522639071443751,false,2
R0D,breach_rate,cluster_pooled,202606,1,202607,0.37178613492341184,0.40704365516297775,0.3246026124269524,0.4153011875579031,true,1
R0D,breach_rate,cluster_pooled,202606,2,202608,0.36571493374138286,0.43187576763907787,0.29299483936309284,0.4144504529313828,true,1
R0D,breach_rate,cluster_pooled,202606,3,202609,0.3906503862961479,0.45681122019384296,0.28671751555372715,0.435469655373209,false,1
R0D,breach_rate,cluster_pooled,202606,4,202610,0.41556117872858855,0.48172201262628356,0.2853147203034204,0.45707889623804177,false,1
R0D,breach_rate,cluster_pooled,202606,5,202611,0.4403222291460662,0.5064830630437612,0.286893034588464,0.4789312213329874,false,1
R0D,breach_rate,cluster_pooled,202606,6,202612,0.4713010336156227,0.5374618675133177,0.29691304353698256,0.5072803371017126,false,1
R0D,breach_rate,cluster_pooled,202606,7,202701,0.49820208713707326,0.5643629210347683,0.3045404954518376,0.5317631422883142,false,1
R0D,breach_rate,cluster_pooled,202606,8,202702,0.5131476583840896,0.5793084922817846,0.30154663572981455,0.5444578628663944,false,1
R1F,breach_rate,cluster_pooled,202606,1,202607,0.33746726444167696,0.3284037365706772,0.29687823213062603,0.3932906472456428,true,0
R1F,breach_rate,cluster_pooled,202606,2,202608,0.3481969317373324,0.3311975501613838,0.29600353078926067,0.4002386049076584,true,0
R1F,breach_rate,cluster_pooled,202606,3,202609,0.35863862637855637,0.34163924480260777,0.29853555007294375,0.42619692251857344,false,0
R1F,breach_rate,cluster_pooled,202606,4,202610,0.37225446232894377,0.35525508075299517,0.3054832212425172,0.45289387673572,false,0
R1F,breach_rate,cluster_pooled,202606,5,202611,0.37517695066791373,0.35817756909196513,0.302530938475966,0.4673410616212682,false,0
R1F,breach_rate,cluster_pooled,202606,6,202612,0.3858254057228388,0.3688260241468902,0.30786819447180963,0.4884086387755821,false,0
R1F,breach_rate,cluster_pooled,202606,7,202701,0.37030543449549747,0.35330605291954886,0.287464071642564,0.48247003916058,false,0
R1F,breach_rate,cluster_pooled,202606,8,202702,0.36706510795246045,0.35006572637651184,0.2796776876322656,0.48814783586906096,false,0
